DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
2014-01-01,33.0,46.0,40.0,657,1756
2014-01-02,35.0,50.0,43.0,657,1756
2014-01-03,36.0,45.0,41.0,657,1757
2014-01-04,32.0,41.0,37.0,658,1757
2014-01-05,24.0,38.0,31.0,658,1758
2014-01-06,22.0,39.0,31.0,658,1759
2014-01-07,28.0,45.0,37.0,658,1759
2014-01-08,30.0,41.0,36.0,659,1800
2014-01-09,29.0,42.0,36.0,659,1801
2014-01-10,30.0,47.0,39.0,659,1801
2014-01-11,32.0,47.0,40.0,659,1802
2014-01-12,30.0,47.0,39.0,659,1803
2014-01-13,29.0,42.0,36.0,659,1803
2014-01-14,31.0,47.0,39.0,659,1804
2014-01-15,35.0,51.0,43.0,659,1804
2014-01-16,35.0,55.0,45.0,700,1805
2014-01-17,42.0,57.0,50.0,700,1806
2014-01-18,38.0,54.0,46.0,700,1806
2014-01-19,37.0,51.0,44.0,700,1807
2014-01-20,36.0,53.0,45.0,659,1808
2014-01-21,40.0,55.0,48.0,659,1808
2014-01-22,31.0,44.0,38.0,659,1809
2014-01-23,31.0,46.0,39.0,659,1810
2014-01-24,39.0,54.0,47.0,659,1810
2014-01-25,41.0,62.0,52.0,659,1811
2014-01-26,42.0,58.0,50.0,659,1811
2014-01-27,38.0,51.0,45.0,659,1812
2014-01-28,29.0,39.0,34.0,658,1813
2014-01-29,30.0,36.0,33.0,658,1813
2014-01-30,28.0,39.0,34.0,658,1814
2014-01-31,33.0,42.0,38.0,658,1814
2014-02-01,35.0,50.0,43.0,657,1815
2014-02-02,37.0,49.0,43.0,657,1816
2014-02-03,36.0,50.0,43.0,657,1816
2014-02-04,36.0,55.0,46.0,656,1817
2014-02-05,38.0,53.0,46.0,656,1817
2014-02-06,39.0,49.0,44.0,655,1818
2014-02-07,39.0,52.0,46.0,655,1818
2014-02-08,37.0,52.0,45.0,655,1819
2014-02-09,34.0,57.0,46.0,654,1819
2014-02-10,36.0,54.0,45.0,654,1820
2014-02-11,34.0,52.0,43.0,653,1820
2014-02-12,35.0,52.0,44.0,653,1821
2014-02-13,35.0,49.0,42.0,652,1821
2014-02-14,36.0,48.0,42.0,652,1822
2014-02-15,38.0,55.0,47.0,651,1822
2014-02-16,36.0,46.0,41.0,651,1823
2014-02-17,36.0,43.0,40.0,650,1823
2014-02-18,37.0,45.0,41.0,649,1823
2014-02-19,35.0,46.0,41.0,649,1824
2014-02-20,33.0,47.0,40.0,648,1824
2014-02-21,34.0,48.0,41.0,647,1825
2014-02-22,34.0,48.0,41.0,647,1825
2014-02-23,33.0,48.0,41.0,646,1825
2014-02-24,33.0,50.0,42.0,646,1826
2014-02-25,33.0,47.0,40.0,645,1826
2014-02-26,36.0,50.0,43.0,644,1827
