,symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
0,3,115,alfa-romero,gas,convertible,rwd,front,64.1,48.8,dohc,130,111,21,27,13495
1,3,115,alfa-romero,gas,convertible,rwd,front,64.1,48.8,dohc,130,111,21,27,16500
2,1,115,alfa-romero,gas,hatchback,rwd,front,65.5,52.4,ohcv,152,154,19,26,16500
3,2,164,audi,gas,sedan,fwd,front,66.2,54.3,ohc,109,102,24,30,13950
4,2,164,audi,gas,sedan,4wd,front,66.4,54.3,ohc,136,115,18,22,17450
5,2,115,audi,gas,sedan,fwd,front,66.3,53.1,ohc,136,110,19,25,15250
6,1,158,audi,gas,sedan,fwd,front,71.4,55.7,ohc,136,110,19,25,17710
7,1,115,audi,gas,wagon,fwd,front,71.4,55.7,ohc,136,110,19,25,18920
8,1,158,audi,gas,sedan,fwd,front,71.4,55.9,ohc,131,140,17,20,23875
9,0,115,audi,gas,hatchback,4wd,front,67.9,52.0,ohc,131,160,16,22,12000
10,2,192,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,108,101,23,29,16430
11,0,192,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,108,101,23,29,16925
12,0,188,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,164,121,21,28,20970
13,0,188,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,164,121,21,28,21105
14,1,115,bmw,gas,sedan,rwd,front,66.9,55.7,ohc,164,121,20,25,24565
15,0,115,bmw,gas,sedan,rwd,front,66.9,55.7,ohc,209,182,16,22,30760
16,0,115,bmw,gas,sedan,rwd,front,67.9,53.7,ohc,209,182,16,22,41315
17,0,115,bmw,gas,sedan,rwd,front,70.9,56.3,ohc,209,182,15,20,36880
18,2,121,chevrolet,gas,hatchback,fwd,front,60.3,53.2,l,61,48,47,53,5151
19,1,98,chevrolet,gas,hatchback,fwd,front,63.6,52.0,ohc,90,70,38,43,6295
20,0,81,chevrolet,gas,sedan,fwd,front,63.6,52.0,ohc,90,70,38,43,6575
21,1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,37,41,5572
22,1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,31,38,6377
23,1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7957
24,1,148,dodge,gas,hatchback,fwd,front,63.8,50.6,ohc,90,68,31,38,6229
25,1,148,dodge,gas,sedan,fwd,front,63.8,50.6,ohc,90,68,31,38,6692
26,1,148,dodge,gas,sedan,fwd,front,63.8,50.6,ohc,90,68,31,38,7609
27,1,148,dodge,gas,sedan,fwd,front,63.8,50.6,ohc,98,102,24,30,8558
28,-1,110,dodge,gas,wagon,fwd,front,64.6,59.8,ohc,122,88,24,30,8921
29,3,145,dodge,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,12964
30,2,137,honda,gas,hatchback,fwd,front,63.9,50.8,ohc,92,58,49,54,6479
