,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
0,1,619,42,2,0.0,1,1,1,101348.88
1,0,608,41,1,83807.86,1,0,1,112542.58
2,1,502,42,8,159660.8,3,1,0,113931.57
3,0,699,39,1,0.0,2,0,0,93826.63
4,0,850,43,2,125510.82,1,1,1,79084.1
5,1,645,44,8,113755.78,2,1,0,149756.71
6,0,822,50,7,0.0,2,1,1,10062.8
7,1,376,29,4,115046.74,4,1,0,119346.88
8,0,501,44,4,142051.07,2,0,1,74940.5
9,0,684,27,2,134603.88,1,1,1,71725.73
10,0,528,31,6,102016.72,2,0,0,80181.12
11,0,497,24,3,0.0,2,1,0,76390.01
12,0,476,34,10,0.0,2,1,0,26260.98
13,0,549,25,5,0.0,2,0,0,190857.79
14,0,635,35,7,0.0,2,1,1,65951.65
15,0,616,45,3,143129.41,2,0,1,64327.26
16,1,653,58,1,132602.88,1,1,0,5097.67
17,0,549,24,9,0.0,2,1,1,14406.41
18,0,587,45,6,0.0,1,0,0,158684.81
19,0,726,24,6,0.0,2,1,1,54724.03
20,0,732,41,8,0.0,2,1,1,170886.17
21,0,636,32,8,0.0,2,1,0,138555.46
22,1,510,38,4,0.0,1,1,0,118913.53
23,0,669,46,3,0.0,2,0,1,8487.75
24,0,846,38,5,0.0,1,1,1,187616.16
25,0,577,25,3,0.0,2,0,1,124508.29
26,0,756,36,2,136815.64,1,1,1,170041.95
27,0,571,44,9,0.0,2,0,0,38433.35
28,0,574,43,3,141349.43,1,1,1,100187.43
29,0,411,29,0,59697.17,2,1,1,53483.21
30,1,591,39,3,0.0,3,1,0,140469.38
31,0,533,36,7,85311.7,1,0,1,156731.91
32,0,553,41,9,110112.54,2,0,0,81898.81
33,0,520,42,6,0.0,2,1,1,34410.55
34,0,722,29,9,0.0,2,1,1,142033.07
35,1,475,45,0,134264.04,1,1,0,27822.99
36,0,490,31,3,145260.23,1,0,1,114066.77
37,0,804,33,7,76548.6,1,0,1,98453.45
38,0,850,36,7,0.0,1,1,1,40812.9
39,0,582,41,6,70349.48,2,0,1,178074.04
40,0,472,40,4,0.0,1,1,0,70154.22
41,1,465,51,8,122522.32,1,0,0,181297.65
42,0,556,61,2,117419.35,1,1,1,94153.83
43,1,834,49,2,131394.56,1,0,0,194365.76
44,0,660,61,5,155931.11,1,1,1,158338.39
45,0,776,32,4,109421.13,2,1,1,126517.46
46,1,829,27,9,112045.67,1,1,1,119708.21
47,1,637,39,9,137843.8,1,1,1,117622.8
48,0,550,38,2,103391.38,1,0,1,90878.13
49,0,776,37,2,103769.22,2,1,0,194099.12
50,0,698,44,10,116363.37,2,1,0,198059.16
51,0,585,36,5,146050.97,2,0,0,86424.57
52,0,788,33,5,0.0,2,0,0,116978.19
53,1,655,41,8,125561.97,1,0,0,164040.94
54,1,601,42,1,98495.72,1,1,0,40014.76
55,0,619,43,1,125211.92,1,1,1,113410.49
56,0,656,45,5,127864.4,1,1,0,87107.57
57,0,725,19,0,75888.2,1,0,0,45613.75
58,1,511,66,4,0.0,1,1,0,1643.11
59,0,614,51,4,40685.92,1,1,1,46775.28
60,0,742,35,5,136857.0,1,0,0,84509.57
61,0,687,27,9,152328.88,2,0,0,126494.82
62,0,555,33,1,56084.69,2,0,0,178798.13
63,0,684,56,8,78707.16,1,1,1,99398.36
64,0,603,26,4,109166.37,1,1,1,92840.67
65,0,751,36,6,169831.46,2,1,1,27758.36
66,0,581,34,1,101633.04,1,1,0,110431.51
67,0,735,43,10,123180.01,2,1,1,196673.28
