,Gender,Exit
0,Female,Yes
1,Female,No
2,Female,Yes
3,Female,No
4,Female,No
5,Male,Yes
6,Male,No
7,Female,Yes
8,Male,No
9,Male,No
10,Male,No
11,Male,No
12,Female,No
13,Female,No
14,Female,No
15,Male,No
16,Male,Yes
17,Female,No
18,Male,No
19,Female,No
20,Male,No
21,Female,No
22,Female,Yes
23,Male,No
24,Female,No
25,Male,No
26,Male,No
27,Male,No
28,Female,No
29,Male,No
30,Female,Yes
31,Male,No
32,Male,No
33,Female,No
34,Female,No
35,Female,Yes
36,Male,No
37,Male,No
38,Male,No
39,Male,No
40,Male,No
41,Female,Yes
42,Female,No
43,Female,Yes
44,Female,No
45,Female,No
46,Female,Yes
47,Female,Yes
48,Male,No
49,Female,No
50,Male,No
51,Male,No
52,Female,No
53,Male,Yes
54,Male,Yes
55,Male,No
56,Male,No
57,Male,No
58,Female,Yes
59,Male,No
60,Male,No
61,Female,No
62,Male,No
63,Male,No
64,Male,No
65,Female,No
66,Female,No
67,Male,No
68,Female,No
69,Female,No
70,Male,Yes
71,Male,No
72,Female,No
73,Female,No
74,Male,No
75,Female,No
76,Male,No
77,Female,No
78,Male,No
79,Female,No
80,Female,No
81,Female,Yes
82,Female,No
83,Female,No
84,Female,No
85,Female,No
86,Male,Yes
87,Male,No
88,Female,Yes
89,Female,No
90,Female,Yes
91,Male,No
92,Female,No
93,Male,No
94,Male,No
95,Male,No
96,Male,No
97,Male,No
98,Male,No
99,Male,No
100,Female,No
101,Female,No
102,Male,No
103,Male,No
104,Female,Yes
105,Female,Yes
106,Male,No
107,Female,No
108,Male,No
109,Male,Yes
110,Male,No
111,Male,No
112,Male,No
113,Male,No
114,Male,Yes
115,Female,No
116,Female,No
117,Female,No
118,Female,Yes
119,Male,No
120,Male,No
121,Male,No
122,Female,No
123,Female,No
124,Female,No
125,Male,Yes
126,Female,Yes
127,Male,Yes
128,Female,No
129,Male,No
130,Female,No
131,Female,No
132,Male,No
133,Male,No
134,Male,No
135,Female,No
136,Female,No
137,Male,No
138,Female,Yes
139,Female,Yes
140,Male,No
141,Male,No
142,Female,No
143,Male,Yes
144,Female,Yes
145,Female,No
146,Female,No
147,Male,No
148,Male,No
149,Male,No
150,Female,No
151,Female,Yes
152,Male,No
153,Male,No
154,Female,No
155,Male,Yes
156,Female,No
157,Female,No
158,Female,No
159,Female,No
160,Female,No
161,Male,No
162,Female,No
163,Female,No
164,Male,Yes
165,Male,No
166,Female,Yes
167,Female,No
168,Female,Yes
169,Male,No
170,Female,No
171,Male,No
172,Male,Yes
173,Male,No
174,Male,No
175,Female,No
176,Female,No
177,Male,No
178,Female,No
179,Female,Yes
180,Female,No
181,Male,No
182,Female,No
183,Male,No
184,Female,Yes
185,Male,No
186,Female,No
187,Female,No
188,Male,No
189,Female,No
190,Female,Yes
191,Female,No
192,Male,No
193,Male,No
194,Male,No
195,Male,No
196,Female,No
197,Male,No
198,Male,No
199,Male,No
200,Male,No
201,Male,No
202,Male,Yes
203,Female,Yes
204,Male,No
205,Male,No
206,Female,Yes
207,Male,No
208,Male,Yes
209,Male,No
210,Male,No
211,Male,No
212,Female,No
213,Female,No
214,Male,No
215,Male,Yes
216,Male,No
217,Female,No
218,Male,Yes
219,Male,Yes
220,Female,No
221,Male,No
222,Male,No
223,Male,Yes
224,Male,Yes
225,Male,No
226,Female,No
227,Female,Yes
228,Male,Yes
229,Female,No
230,Male,No
231,Male,No
232,Female,No
233,Male,No
234,Female,No
235,Male,Yes
236,Female,No
237,Female,Yes
238,Female,Yes
239,Male,No
240,Male,No
241,Female,No
242,Male,No
243,Male,Yes
244,Male,No
245,Female,Yes
246,Male,No
247,Female,No
248,Male,No
249,Male,Yes
250,Female,No
251,Female,No
252,Female,No
253,Male,No
254,Male,No
255,Male,No
256,Male,No
257,Female,No
258,Female,No
259,Male,No
260,Male,No
261,Female,No
262,Female,No
263,Female,No
264,Male,No
265,Female,No
266,Male,No
267,Male,No
268,Female,Yes
269,Female,No
270,Male,No
271,Male,Yes
272,Female,No
273,Male,No
274,Male,No
275,Female,No
276,Male,Yes
277,Female,No
278,Male,No
279,Male,Yes
280,Male,No
281,Male,No
282,Male,Yes
283,Male,No
284,Female,No
285,Male,No
286,Male,No
287,Female,No
288,Female,No
289,Male,No
290,Male,No
291,Female,No
292,Male,No
293,Female,Yes
294,Male,No
295,Male,No
296,Female,No
297,Female,Yes
298,Male,No
299,Male,No
300,Female,No
301,Female,No
302,Male,No
303,Female,No
304,Male,No
305,Male,No
306,Male,Yes
307,Male,No
308,Male,Yes
309,Male,No
310,Female,No
311,Male,No
312,Male,No
313,Female,No
314,Male,No
315,Male,No
316,Male,Yes
317,Male,No
318,Female,No
319,Male,No
320,Female,No
321,Female,No
322,Male,Yes
323,Female,No
324,Male,No
325,Male,No
326,Male,No
327,Female,Yes
328,Male,No
329,Male,No
330,Male,No
331,Female,No
332,Male,No
333,Female,Yes
334,Female,No
335,Male,Yes
336,Female,No
337,Male,No
338,Female,Yes
339,Female,Yes
340,Female,Yes
341,Male,No
342,Female,No
343,Male,No
344,Female,No
345,Female,No
346,Female,No
347,Male,No
348,Female,No
349,Male,No
350,Male,No
351,Male,No
352,Female,No
353,Male,No
354,Female,No
355,Male,No
356,Female,No
357,Male,Yes
358,Male,No
359,Male,No
360,Male,No
361,Female,Yes
362,Female,No
363,Female,No
364,Male,No
365,Female,No
366,Female,No
367,Female,No
368,Male,No
369,Female,No
370,Male,No
371,Female,No
372,Male,No
373,Male,No
374,Male,No
375,Female,No
376,Male,Yes
377,Male,No
378,Female,No
379,Female,Yes
380,Female,No
381,Male,No
382,Female,No
383,Male,No
384,Male,No
385,Female,No
386,Male,No
387,Male,No
388,Female,No
389,Female,No
390,Female,No
391,Male,No
392,Male,Yes
393,Male,Yes
394,Female,No
395,Female,No
396,Male,No
397,Male,No
398,Female,No
399,Female,Yes
400,Male,No
401,Female,No
402,Male,No
403,Male,No
404,Male,No
405,Male,No
406,Female,Yes
407,Female,No
408,Male,No
409,Female,No
410,Male,No
411,Male,No
412,Female,No
413,Female,Yes
414,Male,No
415,Male,No
416,Female,Yes
417,Female,No
418,Female,No
419,Female,No
420,Female,Yes
421,Female,No
422,Male,Yes
423,Female,No
424,Male,No
425,Male,No
426,Male,No
427,Male,No
428,Female,No
429,Male,Yes
430,Male,Yes
431,Male,No
432,Female,No
433,Female,Yes
434,Male,No
435,Female,No
436,Female,No
437,Male,No
438,Female,No
439,Female,No
440,Female,No
441,Female,No
442,Female,No
443,Male,No
444,Male,Yes
445,Female,No
446,Male,No
